frame,expr_l2,theta_l2,expr_cosine
481,5.0260377,1.4980577,
482,5.3187594,1.5006533,
483,5.6124487,1.4920924,
484,5.277316,1.4892324,
485,5.320336,1.4838593,
486,5.24383,1.4840848,
487,5.0927444,1.4879817,
488,5.2556415,1.4869238,
489,5.262549,1.4922304,
490,5.357367,1.494001,
491,5.2503552,1.4976822,
492,5.463786,1.4977856,
493,5.657066,1.497404,
494,5.759956,1.4906358,
495,5.6683793,1.4861516,
496,5.4193397,1.4791709,
497,5.562825,1.4691875,
498,5.84121,1.4601833,
499,5.763923,1.4492058,
500,5.7853923,1.48445,
501,5.7019415,1.4792329,
502,5.329384,1.4808466,
503,5.131392,1.4927977,
504,4.9974394,1.4949976,
505,5.0288305,1.4988409,
506,5.2308483,1.4980577,
507,5.2282114,1.5006533,
508,5.543664,1.4920924,
509,5.212726,1.4892324,
510,5.271534,1.4838593,
511,5.155514,1.4840848,
512,5.0525765,1.4879817,
513,5.068811,1.4869238,
514,5.4113836,1.4922304,
515,5.139969,1.494001,
516,5.1314607,1.4976822,
517,5.495996,1.4977856,
518,5.7096796,1.497404,
519,5.6006074,1.4906358,
520,5.684178,1.4861516,
521,5.2825766,1.4791709,
522,5.633707,1.4691875,
523,5.8174148,1.4601833,
524,5.9728713,1.4492058,
525,5.783298,1.4492497,
526,6.960182,1.4368327,
527,7.4342537,1.4242942,
528,6.731633,1.4346527,
529,6.415265,1.4438157,
530,6.238894,1.4488358,
531,6.1538334,1.4554799,
532,5.911704,1.4695356,
533,6.0373607,1.4918704,
534,6.027345,1.4990736,
535,6.0889487,1.5187585,
536,5.9076138,1.5297481,
537,5.7226915,1.5329646,
538,6.0045815,1.5365953,
539,6.4396863,1.542746,
540,6.5370436,1.5455966,
541,5.7668285,1.5399858,
542,5.5811477,1.5444583,
543,5.4823704,1.5482199,
544,5.1574707,1.5563273,
545,4.981868,1.5674186,
546,4.955717,1.5727724,
547,5.6041613,1.5780702,
548,5.754362,1.5689697,
549,5.98514,1.5452496,
550,5.716591,1.4492497,
551,7.0828342,1.4368327,
552,7.878353,1.4242942,
553,6.646006,1.4346527,
554,6.590915,1.4438157,
555,6.1880956,1.4488358,
556,6.400054,1.4554799,
557,5.89002,1.4695356,
558,5.9265227,1.4918704,
559,6.065154,1.4990736,
560,5.883295,1.5187585,
561,6.136563,1.5297481,
562,5.6837664,1.5329646,
563,6.231597,1.5365953,
564,5.940552,1.542746,
565,6.427132,1.5455966,
566,5.7708683,1.5399858,
567,5.847303,1.5444583,
568,5.4007425,1.5482199,
569,5.4591594,1.5563273,
570,5.150442,1.5674186,
571,5.178373,1.5727724,
572,5.7169337,1.5780702,
573,5.911194,1.5689697,
574,5.942667,1.5452496,
575,5.7313538,1.5320798,
576,6.4141955,1.5053478,
577,8.167876,1.4937087,
578,7.203075,1.4984585,
579,6.063522,1.5129347,
580,5.8668566,1.5211254,
581,4.4834943,1.5287974,
582,4.1930575,1.5328234,
583,4.334523,1.5309509,
584,5.084086,1.5229006,
585,4.959393,1.5166867,
586,4.8294215,1.5141554,
587,5.180553,1.5091057,
588,4.566785,1.513769,
589,4.914464,1.5099423,
590,4.763722,1.5090209,
591,5.1719265,1.508496,
592,5.2624288,1.5004328,
593,5.1574407,1.4964042,
594,4.6501837,1.4974424,
595,4.6964183,1.4953568,
596,4.8302717,1.4950287,
597,4.802097,1.4913802,
598,5.0656037,1.4882036,
599,5.222087,1.4876326,
600,4.9834523,1.5921307,
601,5.256352,1.565114,
602,5.3265295,1.5638194,
603,5.3130035,1.5583274,
604,5.4611273,1.556092,
605,5.5225677,1.5513599,
606,5.3342113,1.5469601,
607,5.758012,1.5413256,
608,5.90209,1.5322152,
609,6.524076,1.5215939,
610,6.6285715,1.515275,
611,6.7101955,1.5116735,
612,6.743325,1.5116405,
613,5.3353724,1.5198239,
614,5.902571,1.5225194,
615,6.12032,1.5178106,
616,5.7908936,1.50379,
617,6.4435754,1.4891059,
618,6.853049,1.4860338,
619,6.4093213,1.4868929,
620,5.0341864,1.4882865,
621,4.872767,1.4906082,
622,5.370718,1.4833449,
623,5.0145907,1.4757159,
624,5.0904393,1.473846,
625,5.0821753,1.4823672,
626,5.068695,1.4853165,
627,5.2825007,1.4917221,
628,4.9562044,1.4896668,
629,5.14377,1.4873682,
630,4.6513195,1.4970937,
631,4.5655727,1.5027812,
632,4.857585,1.5033134,
633,5.0606565,1.5153223,
634,5.316062,1.5148613,
635,4.789456,1.5073048,
636,4.762562,1.5014865,
637,4.9631867,1.5000514,
638,4.7345967,1.5037603,
639,4.7354994,1.506222,
640,4.5802083,1.5010676,
641,4.4163804,1.4997569,
642,4.577762,1.5008901,
643,4.6397095,1.5004902,
644,4.301491,1.4988457,
645,5.130498,1.4899247,
646,6.08384,1.4902948,
647,5.9742885,1.4898149,
648,6.5442486,1.4907235,
649,6.034545,1.4936928,
650,4.89125,1.4823672,
651,5.0126147,1.4853165,
652,5.1444807,1.4917221,
653,5.116285,1.4896668,
654,5.1748514,1.4873682,
655,4.732055,1.4970937,
656,4.4250655,1.5027812,
657,4.833959,1.5033134,
658,4.8549213,1.5153223,
659,5.16719,1.5148613,
660,5.021121,1.5073048,
661,4.8638372,1.5014865,
662,4.6541777,1.5000514,
663,4.738653,1.5037603,
664,4.9199657,1.506222,
665,4.6402774,1.5010676,
666,4.4797554,1.4997569,
667,4.6349106,1.5008901,
668,4.6804914,1.5004902,
669,4.1909013,1.4988457,
670,5.6352806,1.4899247,
671,6.12613,1.4902948,
672,6.1424522,1.4898149,
673,6.061261,1.4907235,
674,5.8460007,1.4936928,
675,4.9533343,1.4928496,
676,5.4494395,1.4917386,
677,5.438559,1.4934736,
678,5.451241,1.4934492,
679,5.611735,1.5025,
680,5.397307,1.502877,
681,4.7137475,1.5058541,
682,4.8592925,1.509772,
683,4.690786,1.5086817,
684,4.827607,1.506773,
685,4.671463,1.5058614,
686,5.0349345,1.5079471,
687,5.2132583,1.5031753,
688,5.3833427,1.4987085,
689,5.538489,1.4997371,
690,5.4075394,1.4937906,
691,5.531764,1.5005149,
692,5.9932117,1.495671,
693,5.535382,1.4983162,
694,5.951502,1.4974068,
695,5.8143234,1.49158,
696,6.022668,1.4985728,
697,5.880673,1.4933913,
698,5.5213366,1.5082476,
699,5.403256,1.526966,
700,4.7604747,1.4928496,
701,5.09066,1.4917386,
702,5.244166,1.4934736,
703,5.6647778,1.4934492,
704,5.4803605,1.5025,
705,5.5162725,1.502877,
706,4.8321257,1.5058541,
707,4.6868052,1.509772,
708,4.81697,1.5086817,
709,4.667523,1.506773,
710,4.7382236,1.5058614,
711,4.949487,1.5079471,
712,5.2228894,1.5031753,
713,5.1026855,1.4987085,
714,5.352088,1.4997371,
715,5.425746,1.4937906,
